Kobe Bryant,22,8
Tim Duncan,24,4
Kevin Garnett,18,5
Dirk Nowitzki,18,6
LeBron James,29,12
Dwyane Wade,16,1
Chris Bosh,23,3
Ray Allen,19,7
Paul Pierce,12,10
Carmelo Anthony,28,5
Chris Paul,5,5
Vince Carter,25,1
Dwight Howard,7,12
Steve Nash,6,2
Kevin Durant,28,9
Joe Johnson,28,6
Pau Gasol,5,7
Tony Parker,16,5
LaMarcus Aldridge,18,7
Chauncey Billups,24,9
Blake Griffin,15,3
Russell Westbrook,11,11
James Harden,25,8
Al Horford,2,6
Shawn Marion,6,5
Rajon Rondo,21,2
Stephen Curry,13,3
Anthony Davis,10,3
Paul George,1,5
Kyrie Irving,22,3
Kevin Love,6,9
Paul Millsap,9,2
Derrick Rose,3,10
John Wall,5,9
Deron Williams,25,6
Carlos Boozer,19,11
Elton Brand,10,3
Caron Butler,12,3
Jimmy Butler,13,9
DeMarcus Cousins,12,8
Luol Deng,15,4
DeMar DeRozan,6,8
Marc Gasol,28,1
Manu Ginóbili,27,7
Roy Hibbert,10,12
Antawn Jamison,11,6
David Lee,28,4
Rashard Lewis,7,8
Damian Lillard,14,7
Kyle Lowry,24,3
Joakim Noah,24,2
Zach Randolph,15,7
Glenn Robinson,7,1
Klay Thompson,7,2
David West,28,8
Andrew Bynum,26,10
Tyson Chandler,1,10
Andre Drummond,9,8
Danny Granger,19,4
Draymond Green,3,3
Devin Harris,26,2
Jrue Holiday,11,6
Andre Iguodala,27,1
Chris Kaman,27,4
Andrei Kirilenko,17,2
Kyle Korver,16,3
Kawhi Leonard,28,6
Brook Lopez,31,3
Kenyon Martin,29,12
Jameer Nelson,8,2
Jeff Teague,9,6
Isaiah Thomas,6,2
Gerald Wallace,22,7
Mo Williams,18,12
